"#","Symbol","Name","Sector","Ind Group Rank","Industry Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating"
"134","TPL","Texas Pacific Land Corp","ENERGY","33","Oil&Gas-Royalty Trust","1090.31","-2.2","-24.09","14","-49.7","97","32","A-","A","D","79"
"141","ULH","Universal Logistics Hldg","TRANSPRT","29","Transportation-Truck","17.75","-1.3","-0.23","44","-24.8","97","26","A","B","B-","78"
"96","PLL","Piedmont Lithium Inc","MINING","28","Mining-Metal Ores","45.4","-5.1","-2.45","324","-8.9","1","22","A","-","C+","31"
"44","FSBW","F S Bancorp","BANKS","25","Banks-West/Southwest","33.33","0.4","0.12","8","-44.4","62","64","A","C","D","70"
"100","PPBI","Pacific Premier Bancorp","BANKS","25","Banks-West/Southwest","37.78","-0.9","-0.36","275","-36","78","41","A","A","E","69"
"51","HDB","H D F C Bank Ltd Adr","BANKS","22","Banks-Foreign","68.72","-1.4","-0.96","1055","-30.9","88","46","A","B","B-","83"
"120","SHG","Shinhan Financial Gp Adr","BANKS","22","Banks-Foreign","32.27","-1.4","-0.45","116","-23.2","63","69","A","B","C-","82"
"41","FMX","Fomento Econ Mex Sab Ads","FOOD/BEV","21","Beverages-Non-Alcoholic","73.69","-4.2","-3.21","802","49.5","74","43","A","C","D-","77"
"75","MNST","Monster Beverage Corp","FOOD/BEV","21","Beverages-Non-Alcoholic","86.08","-1.3","-1.13","2807","18.7","80","48","A","A","D-","81"
"20","CASY","Caseys General Stores","RETAIL","20","Retail-Super/Mini Mkts","187.41","-1.1","-2.06","147","-42.2","62","43","A","B","B-","79"
"145","VLGEA","Village Super Market A","RETAIL","20","Retail-Super/Mini Mkts","22.3","-0.2","-0.05","39","7.3","79","59","A","D","B+","78"
"74","MNRO","Monro Inc","RETAIL","19","Retail/Whlsle-Auto Parts","46.9","-4","-1.96","475","90.3","72","23","A","C","D-","63"
"119","SGU","Star Group LP","ENERGY","10","Oil&Gas-Refining/Mktg","10.48","-0.6","-0.06","51","-24.7","41","55","A+","B","D-","75"
"10","AVD","American Vanguard Corp","AGRICULTRE","5","Chemicals-Agricultural","14.71","-2.7","-0.41","89","-46.4","74","33","A+","C","D+","67"
"123","SMG","Scotts Miracle-Gro Co","AGRICULTRE","5","Chemicals-Agricultural","134.23","-5","-7.05","713","72","46","21","A+","B","C-","52"
