Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating,,,,,,,,,,,,,,,
PFX,Phenixfin Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,40.2,0,0,4,-30.6,69,84,B-,A,D,81,,,,,,,,,,,,,,,
PHCF,Puhui Wealth Invest Mgmt,FINANCE,Finance-Investment Mgmt,82,NASDAQ,0.94,-3.2,-0.03,210,213.5,2,3,B-,E,D-,1,,,,,,,,,,,,,,,
PJT,P J T Partners Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,63.6,-0.3,-0.16,219,88.4,56,25,B-,B,D-,43,,,,,,,,,,,,,,,
PNNT,Pennantpark Investment,FINANCE,Finance-Investment Mgmt,82,NASDAQ,7.14,1.6,0.11,195,-8.5,58,86,B-,C,C,70,,,,,,,,,,,,,,,
PSEC,Prospect Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,8.43,-0.6,-0.06,1063,-34.1,71,86,B-,B,D-,81,,,,,,,,,,,,,,,
PTMN,Portman Ridge Fin Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,25.15,0.1,0.03,40,3.6,79,84,B-,A,D-,88,,,,,,,,,,,,,,,
PUYI,Puyi Inc Ads,FINANCE,Finance-Investment Mgmt,82,NASDAQ,6.5,-1.5,-0.1,114,7.4,2,88,B-,D,B,59,,,,,,,,,,,,,,,
PX,P10 Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,12.73,1.2,0.16,94,-45.4,99,75,B-,A,C-,95,,,,,,,,,,,,,,,
PZN,Pzena Invstmnt Mgmt Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,10.25,-3.8,-0.41,81,113.4,86,69,B-,A,B-,89,,,,,,,,,,,,,,,
RAND,Rand Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,14.11,0.1,0.01,1,10.2,25,28,B-,B,D-,36,,,,,,,,,,,,,,,
RFL,Rafael Holdings Inc Cl B,FINANCE,Finance-Investment Mgmt,82,NYSE,3.76,-9.4,-0.39,130,-33,2,1,B-,E,E,1,,,,,,,,,,,,,,,
SAMG,Silvercrest Asset Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,17.56,3.2,0.55,30,77.2,91,84,B-,A,B,95,,,,,,,,,,,,,,,
SAR,Saratoga Investment Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,27.71,0.4,0.11,47,-13.4,57,77,B-,B,C,76,,,,,,,,,,,,,,,
SCM,Stellus Cap Investment,FINANCE,Finance-Investment Mgmt,82,NYSE,13.77,0.3,0.04,49,-20.9,39,83,B-,B,C+,72,,,,,,,,,,,,,,,
SCU,Sculptor Capital Mgmt,FINANCE,Finance-Investment Mgmt,82,NYSE,19.3,-2.2,-0.44,135,-35.5,75,30,B-,-,E,35,,,,,,,,,,,,,,,
SEIC,S E I Investments Co,FINANCE,Finance-Investment Mgmt,82,NASDAQ,59.54,0.8,0.47,334,-6.7,85,52,B-,A,C,78,,,,,,,,,,,,,,,
SFE,Safeguard Scientifics,FINANCE,Finance-Investment Mgmt,82,NYSE,6.36,0.2,0.01,8,-83.7,61,26,B-,-,D-,39,,,,,,,,,,,,,,,
SII,Sprott Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,35.66,0,0.01,64,2.4,31,37,B-,A,E,53,,,,,,,,,,,,,,,
SLRC,SLR Investment Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,18.53,0.1,0.02,57,-50.5,53,55,B-,B,E,59,,,,,,,,,,,,,,,
SPLP,Steel Partners Hldgs Lp,FINANCE,Finance-Investment Mgmt,82,NYSE,34.99,1,0.34,31,99.9,62,98,B-,B,E,81,,,,,,,,,,,,,,,
SSSS,Suro Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,12.22,-0.7,-0.09,225,-39.9,43,95,B-,D,D+,72,,,,,,,,,,,,,,,
STEP,StepStone Group Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,34.23,-2.1,-0.75,156,-46.4,98,28,B-,A,E,69,,,,,,,,,,,,,,,
STT,State Street Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,97.48,1,0.97,1099,-22.7,78,87,B-,C,C,77,,,,,,,,,,,,,,,
SUNS,SLR Senior Investment,FINANCE,Finance-Investment Mgmt,82,NASDAQ,14.23,0.5,0.07,20,-52.9,33,37,B-,C,E,33,,,,,,,,,,,,,,,
TCPC,BlackRock T C P Cap,FINANCE,Finance-Investment Mgmt,82,NASDAQ,13.73,0.6,0.08,148,-19.9,41,60,B-,C,E,52,,,,,,,,,,,,,,,
TPG,T P G Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,34.9,1.4,0.47,393,-85.1,37,69,B-,B,-,69,,,,,,,,,,,,,,,
TPVG,Triplepoint Vent Gr Bdc,FINANCE,Finance-Investment Mgmt,82,NYSE,17.3,1.1,0.18,116,-14.3,40,83,B-,C,C+,64,,,,,,,,,,,,,,,
TRIN,Trinity Capital Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,17.64,1.7,0.29,65,57.8,65,89,B-,A,B+,97,,,,,,,,,,,,,,,
TROW,T Rowe Price Group Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,156.62,0.6,0.87,1181,22,89,25,B-,A,E,61,,,,,,,,,,,,,,,
TURN,180 Degree Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,7.32,0.3,0.02,4,-71.7,0,75,B-,-,B,0,,,,,,,,,,,,,,,
VCTR,Victory Capital Hld Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,33.46,0.2,0.07,85,-42.1,96,85,B-,A,D-,92,,,,,,,,,,,,,,,
VINP,Vinci Partners Inv Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,12.75,-1.8,-0.24,35,-51.2,44,60,B-,B,C+,65,,,,,,,,,,,,,,,
VRTS,Virtus Investment Ptnrs,FINANCE,Finance-Investment Mgmt,82,NASDAQ,258.18,-1.5,-3.82,33,1.1,99,39,B-,A,E,78,,,,,,,,,,,,,,,
WETF,Wisdomtree Investments,FINANCE,Finance-Investment Mgmt,82,NASDAQ,5.54,-1.2,-0.07,564,4.6,84,30,B-,A,E,61,,,,,,,,,,,,,,,
WHF,WhiteHorse Finance Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,15.44,0.4,0.06,88,19.3,92,75,B-,B,D-,88,,,,,,,,,,,,,,,
WHG,Westwood Holdings Group,FINANCE,Finance-Investment Mgmt,82,NYSE,17.69,-3.2,-0.59,18,0.8,66,87,B-,C,B,78,,,,,,,,,,,,,,,
AAMC,Altisource Asset Mgmt,FINANCE,Finance-Mrtg&Rel Svc,47,AMEX,17.9,0,0,0,0,69,30,A-,-,C,50,,,,,,,,,,,,,,,
ACT,Enact Holdings Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NASDAQ,21.52,-2.8,-0.63,148,22.7,54,86,A-,B,D-,77,,,,,,,,,,,,,,,
AGM,Federal Agric Mtg Cl C,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,122.2,-0.3,-0.36,11,-36.8,77,92,A-,C,B-,85,,,,,,,,,,,,,,,
AGMA,Federal Agric Mtg Cl A,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,113.59,0,0,0,0,77,92,A-,C,E,78,,,,,,,,,,,,,,,
ATAX,America First Multfm Inv,FINANCE,Finance-Mrtg&Rel Svc,47,NASDAQ,6.71,-3.5,-0.24,82,-26.3,67,92,A-,C,B,97,,,,,,,,,,,,,,,
