Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
GPP,Green Plains Partners Lp,14,ENERGY,Oil&Gas-Transprt/Pipelne,14.45,-5.4,-0.82,125,159.3,48,92,A+,-,A-,79
HESM,Hess Midstream LP Cl A,14,ENERGY,Oil&Gas-Transprt/Pipelne,28.66,-1.4,-0.41,279,-29.6,53,94,A+,A,B-,97
LNG,Cheniere Energy Inc,14,ENERGY,Oil&Gas-Transprt/Pipelne,114.99,-1.8,-2.15,1069,-23.6,2,97,A+,-,B+,75
MPLX,M P L X Lp,14,ENERGY,Oil&Gas-Transprt/Pipelne,33.28,-1.6,-0.51,2058,14.4,54,95,A+,C,B,94
RTLR,Rattler Midstream LP,14,ENERGY,Oil&Gas-Transprt/Pipelne,12.48,-0.3,-0.04,126,-45.7,92,91,A+,D,B,95
WES,Western Midstream Prtns,14,ENERGY,Oil&Gas-Transprt/Pipelne,25.39,-0.5,-0.14,777,-1.4,65,96,A+,B,A-,96
BCBP,B C B Bancorp Inc,15,BANKS,Banks-Northeast,17.86,0.6,0.1,42,80,83,95,A+,C,A-,95
BPRN,The Bank of Princeton,15,BANKS,Banks-Northeast,30.9,-2.1,-0.66,22,152.5,80,86,A+,B,B-,95
CAC,Camden National Corp,15,BANKS,Banks-Northeast,49.39,0.1,0.07,28,-4.7,63,85,A+,C,B,86
CLBK,Columbia Financial Inc,15,BANKS,Banks-Northeast,21.24,-0.5,-0.1,64,-41.5,79,93,A+,C,B,92
CNOB,Connectone Bancorp Inc,15,BANKS,Banks-Northeast,32.71,0,-0.01,153,25.4,82,90,A+,C,D-,87
EGBN,Eagle Bancorp Inc,15,BANKS,Banks-Northeast,59.61,-0.1,-0.08,78,2.4,69,87,A+,C,A-,89
FNLC,First Bancorp Inc,15,BANKS,Banks-Northeast,31.39,0.6,0.2,8,-40.4,91,86,A+,A,D,93
NBN,Northeast Bank,15,BANKS,Banks-Northeast,37.6,-0.9,-0.35,6,-73.1,94,95,A+,A,B-,97
